key,name,image,artist,youtube_link
1,On The Ground,image/on_the_ground.png,"Rose",https://music.youtube.com/watch?v=CKZvWhCqx1s
2,Legends Never Die,image/Legends_Never_Die_League_Of_Legends.png,"League of Legends",https://music.youtube.com/watch?v=r6zIGXun57U
3,Shape of You,image/Shape_Of_You_(Official_Single_Cover)_by_Ed_Sheeran.png,"Ed Sheeran",https://music.youtube.com/watch?v=JGwWNGJdvx8
4,Attention,image/New_Jeans_The_1st_Mini_Album_cover.png,"NewJeans",https://music.youtube.com/watch?v=js1CtxSY38I
5,APT.,image/apt.png,"Rose, Bruno Mars",https://music.youtube.com/watch?v=ekr2nIex040
6,OMG,image/NewJeans_OMG_cover.png,"NewJeans",https://music.youtube.com/watch?v=_ZAgIHmHLdc
7,Die with a Smile,image/Lady_Gaga_and_Bruno_Mars_-_Die_with_a_Smile.png,"Lady Gaga, Bruno Mars",https://music.youtube.com/watch?v=kPa7bsKwL-c
8,Espresso,image/Espresso_-_Sabrina_Carpenter.png,"Sabrina Carpenter",https://music.youtube.com/watch?v=eVli-tstM5E
9,You and Me,image/Jennie_-_You_&_Me_single_cover_art.png,"Jennie",https://music.youtube.com/watch?v=eQNHDV7lKgE
10,Magnetic,image/Illit_-_Magnetic_(remixes).png,"Illit",https://music.youtube.com/watch?v=Vk5-c_v4gMU
11,Gone,image/Rose_-_Gone.png,"Rose",https://music.youtube.com/watch?v=K9_VFxzCuQ0
12,Idol,image/Idol_(Yoasobi_song).png,"Yoasobi",https://music.youtube.com/watch?v=ZRtdQ81jPUQ
13,If I Can Stop One Heart From Breaking,image/if_i_can_stop_one_heart_from_breaking.png,"Robin",https://music.youtube.com/watch?v=2z8I4iW0Z8I
14,Golden Hour,image/golden_hour.png,"JVKE",https://music.youtube.com/watch?v=PEM0Vs8jf9k
15,Still Here,image/still_here.png,"League of Legends",https://music.youtube.com/watch?v=2z8I4iW0Z8I
16,Number One Girl,image/number_one_girl.png,"Rose",https://music.youtube.com/watch?v=2z8I4iW0Z8I
17,GODS,image/gods.png,"NewJeans",https://music.youtube.com/watch?v=2z8I4iW0Z8I
18,Blinding Light,image/blinding_light.png,"The Weeknd",https://music.youtube.com/watch?v=fHI8X4OXluQ
19,PinKing,image/pinking.png,"Hoyomix",https://music.youtube.com/watch?v=2z8I4iW0Z8I
20,Night Dancer,image/night_dancer.png,"Imase",https://music.youtube.com/watch?v=2z8I4iW0Z8I
